radial:alignment:topleft-bottomleft,pref:radial:alignment:topleft-bottomleft,radial:alignment:bottomleft-left,pref:radial:alignment:bottomleft-left,radial:alignment:topleft-left,pref:radial:alignment:topleft-left,radial:distance:close-med,pref:radial:distance:close-med,radial:distance:med-far,pref:radial:distance:med-far,radial:distance:close-far,pref:radial:distance:close-far,grid:alignment:topleft-bottomleft,pref:grid:alignment:topleft-bottomleft,grid:alignment:topleft-left,pref:grid:alignment:topleft-left,grid:alignment:bottomleft-left,pref:grid:alignment:bottomleft-left,pref:grid:distance:close-med,grid:distance:med-far,pref:grid:distance:med-far,grid:distance:close-far,pref:grid:distance:close-far,grid:distance:close-med
1,55,1,29,1,49,2,46,2,11,2,51,1,47,1,44,1,50,57,2,51,2,47,2
1,53,2,66,1,77,2,68,1,86,2,76,1,81,1,70,1,61,74,1,72,2,71,2
1,10,1,10,1,4,2,12,2,11,2,27,2,18,1,15,1,9,30,1,12,2,25,2
2,41,1,51,2,20,2,24,2,30,2,29,2,22,2,23,1,22,36,2,40,2,33,2
1,84,2,68,2,77,2,74,2,74,2,66,1,90,2,63,2,67,81,2,70,2,78,2
2,87,2,87,2,88,1,85,1,86,1,87,2,88,2,89,2,87,86,1,87,1,89,1
2,40,1,72,1,71,2,50,1,51,2,45,1,49,1,68,1,75,89,1,55,2,83,2
1,48,2,33,2,21,2,68,2,56,2,58,2,62,2,62,2,87,35,2,49,2,43,2
1,3,2,2,2,1,1,2,1,3,2,5,1,4,2,4,2,6,7,2,11,2,11,2
2,87,2,88,2,91,2,74,2,83,2,99,1,93,2,91,2,94,85,2,91,2,73,2
2,33,2,91,2,85,2,77,1,20,2,46,1,24,2,52,2,78,77,1,30,2,65,2
2,0,1,45,1,49,2,48,1,27,1,64,2,79,1,66,1,63,66,2,79,2,59,2
2,92,2,100,2,99,2,88,2,15,2,95,1,54,2,100,2,91,96,2,86,2,94,2
1,100,2,59,2,55,2,87,1,68,2,69,2,79,2,88,2,86,80,1,57,2,80,2
2,85,2,63,1,69,2,91,2,80,2,100,1,96,1,83,2,90,94,2,96,2,95,1
2,100,2,53,1,100,2,100,2,42,2,57,1,100,2,53,1,26,93,1,36,1,26,1
1,51,2,87,2,87,2,56,1,51,2,53,1,55,2,93,2,92,55,1,81,2,52,2
1,80,2,87,1,88,2,84,1,86,2,86,1,92,1,85,2,92,87,1,81,2,81,2
2,23,2,29,2,40,2,27,1,24,2,44,2,31,2,29,2,32,38,1,27,2,32,2
2,53,2,51,2,53,1,42,2,5,1,46,2,47,2,45,2,60,50,1,48,1,47,1
1,49,2,48,2,51,2,49,1,48,2,49,1,46,2,49,2,48,51,1,52,2,56,2
2,27,2,56,2,70,2,26,2,31,2,6,2,25,2,54,2,60,35,2,31,2,27,2
1,45,2,56,2,46,1,44,1,5,1,42,1,9,2,29,2,22,54,1,46,1,39,1
2,64,2,64,2,72,2,62,2,55,2,62,2,64,2,59,2,68,59,2,64,2,64,2
1,66,2,31,1,69,2,81,1,23,1,8,1,76,1,55,1,72,75,1,13,2,76,2
1,0,2,0,2,0,2,4,1,2,2,4,1,0,2,0,2,0,5,1,5,2,2,2
1,51,2,62,2,52,2,50,2,34,2,51,1,50,1,28,2,19,37,2,46,2,33,2
2,47,2,50,2,48,2,46,2,47,1,47,2,46,2,42,2,47,51,1,46,2,49,2
1,62,2,75,2,63,2,69,2,70,1,69,1,71,2,69,2,64,73,2,76,2,74,2
2,17,1,13,1,23,1,30,1,45,1,12,2,41,1,36,1,21,83,1,74,1,62,1
1,22,2,34,2,45,2,34,2,37,2,93,2,68,2,86,2,93,78,2,5,2,85,2
1,49,2,75,2,53,2,11,1,31,1,12,1,21,2,54,2,60,33,1,34,2,41,2
2,48,2,51,2,50,2,49,2,50,2,48,2,47,2,50,2,50,49,1,45,2,46,2
1,29,2,37,2,29,2,43,1,47,2,36,1,43,1,42,2,38,42,1,44,2,47,2
2,40,1,33,2,44,1,51,2,53,2,61,2,38,1,38,2,38,55,2,54,2,77,1
1,9,2,10,2,10,2,7,1,7,2,5,1,6,2,5,2,3,9,1,9,2,6,2
